total_students,birth_country,race,dre
1,MO�AMBIQUE,PRETA,IP
1,COL�MBIA,BRANCA,G
1,ABISSÍNIA,PARDA,G
1,REPÚBLICA DOMINICANA,PARDA,PE
1,RESERVADO,BRANCA,PE
1,VENEZUELA,INDIGENA,CS
1,ITÁLIA,BRANCA,CL
1,HOLANDA,PRETA,PJ
1,COLÔMBIA,RECUSOU INFORMA,PJ
1,LÍBANO,PARDA,IP
1,JAPÃO,PARDA,PJ
1,ALEMANHA,BRANCA,BT
1,REPÚBLICA DOMINICANA,PARDA,CL
1,ARMÊNIA,PARDA,SA
1,PERU,PARDA,SA
1,COLÔMBIA,PARDA,IQ
1,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,PE
1,ARGENTINA,NÃO DECLARADA,G
1,BOL�VIA,AMARELA,CS
1,TUNÍSIA,BRANCA,BT
1,RÚSSIA,BRANCA,JT
1,MAURITÂNIA,BRANCA,BT
1,REP�BLICA DOMINICANA,BRANCA,IP
1,URUGUAI,PARDA,PE
1,TANZ�NIA,PRETA,IQ
1,ITÁLIA,PARDA,JT
1,QUÊNIA,PRETA,IP
1,ESTADOS UNIDOS DA AMÉRICA (EUA),PARDA,JT
1,MARROCOS,NÃO DECLARADA,PE
1,PARAGUAI,BRANCA,BT
1,GUIN� BISSAU,PARDA,CS
1,MARROCOS,BRANCA,CS
1,COLÔMBIA,BRANCA,SM
1,CABO VERDE,RECUSOU INFORMA,IP
1,ABISS�NIA,RECUSOU INFORMA,G
1,HAITI,AMARELA,IP
1,PORTUGAL,PRETA,PJ
1,PERU,AMARELA,IQ
1,AFEGANISTÃO,BRANCA,BT
1,JORD�NIA,RECUSOU INFORMA,IQ
1,GUINÉ EQUATORIAL,PARDA,CL
1,L�BIA,BRANCA,PE
1,MO�AMBIQUE,RECUSOU INFORMA,SA
1,MARROCOS,BRANCA,IP
1,ESPANHA,RECUSOU INFORMA,IP
1,EQUADOR,PRETA,PJ
1,LET�NIA,RECUSOU INFORMA,JT
1,CHILE,PARDA,SA
1,URUGUAI,PRETA,PE
1,COL�MBIA,RECUSOU INFORMA,SM
1,CUBA,BRANCA,FO
1,CATAR,RECUSOU INFORMA,CS
1,HAITI,PARDA,G
1,PERU,AMARELA,IP
1,MOÇAMBIQUE,PRETA,BT
1,BONAIRE SAINT EUSTATIUS E SABA,RECUSOU INFORMA,JT
1,IT�LIA,RECUSOU INFORMA,FO
1,NIG�RIA,PRETA,JT
1,MÉXICO,BRANCA,PJ
1,CHINA,BRANCA,BT
1,CHILE,BRANCA,CS
1,CHILE,PARDA,BT
1,NIGÉRIA,PRETA,SA
1,BENIN,PARDA,FO
1,HOLANDA,BRANCA,IP
1,IT�LIA,RECUSOU INFORMA,IP
1,S�RIA,BRANCA,MP
1,ESPANHA,PARDA,JT
1,VENEZUELA,INDIGENA,SM
1,MAURITÂNIA,PARDA,BT
1,GUINÉ,PRETA,CS
1,COLÔMBIA,RECUSOU INFORMA,PE
1,FRANÇA,RECUSOU INFORMA,PJ
1,LÍBANO,RECUSOU INFORMA,IQ
1,PERU,PRETA,IQ
1,CANAD�,BRANCA,CL
1,BOL�VIA,INDIGENA,CL
1,INGLATERRA,BRANCA,PE
1,QUÊNIA,PARDA,G
1,APÁTRIDA,BRANCA,IP
1,CAMAR�ES,RECUSOU INFORMA,PE
1,BRUNEI,NÃO DECLARADA,G
1,FRANÇA,PRETA,CL
1,COL�MBIA,PARDA,SA
1,PARAGUAI,PRETA,JT
1,PERU,AMARELA,JT
1,ESTADOS UNIDOS DA AMÉRICA (EUA),PARDA,IP
1,ESPANHA,RECUSOU INFORMA,JT
1,COLÔMBIA,PARDA,SM
1,EQUADOR,PARDA,CL
1,ESPANHA,BRANCA,JT
1,LÍBANO,RECUSOU INFORMA,CL
1,HAITI,RECUSOU INFORMA,CS
1,JAPÃO,BRANCA,CS
1,MOÇAMBIQUE,NÃO DECLARADA,CL
1,PERU,RECUSOU INFORMA,SA
1,JAPÃO,RECUSOU INFORMA,CS
1,JAPÃO,AMARELA,SA
1,BIRM�NIA,BRANCA,JT
1,VENEZUELA,AMARELA,IQ
1,GUIN� EQUATORIAL,PRETA,IP
1,ETIÓPIA,PRETA,MP
1,ARGENTINA,INDIGENA,BT
1,EMIRADOS ÁRABES UNIDOS,PRETA,PJ
1,HONDURAS,PRETA,SM
1,REP�BLICA DOMINICANA,PRETA,JT
1,PORTUGAL,RECUSOU INFORMA,CS
1,VENEZUELA,N�O DECLARADA,SM
1,M�XICO,BRANCA,JT
1,FINLÂNDIA,BRANCA,IQ
1,JAPÃO,PARDA,IP
1,EMIRADOS ÁRABES UNIDOS,RECUSOU INFORMA,BT
1,ARGENTINA,BRANCA,MP
1,ITÁLIA,PARDA,MP
1,INGLATERRA,PARDA,PJ
1,CHILE,PRETA,SM
1,AFEGANISTÃO,RECUSOU INFORMA,FO
1,CHILE,BRANCA,FO
1,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,PJ
1,INGLATERRA,BRANCA,IP
1,L�BANO,RECUSOU INFORMA,IQ
1,JAP�O,BRANCA,PE
1,IT�LIA,RECUSOU INFORMA,PJ
1,AUSTR�LIA,BRANCA,PE
1,CUBA,PARDA,PE
1,CUBA,PARDA,PJ
1,BÓSNIA HERZEGOVINA,PARDA,CL
1,JAP�O,N�O DECLARADA,BT
1,B�LGICA,BRANCA,BT
1,NIG�RIA,PRETA,IP
1,TUNÍSIA,PARDA,CL
1,SENEGAL,PRETA,PJ
1,ÁFRICA DO SUL,PRETA,G
1,CHILE,PRETA,PJ
1,PARAGUAI,AMARELA,IQ
1,REPÚBLICA DOMINICANA,PARDA,JT
1,AUSTRÁLIA,BRANCA,PJ
1,MARROCOS,RECUSOU INFORMA,CL
1,REP�BLICA DOMINICANA,PARDA,JT
1,MARROCOS,RECUSOU INFORMA,CS
1,AFEGANIST�O,RECUSOU INFORMA,PE
1,FRANÇA,BRANCA,IP
1,BÓSNIA HERZEGOVINA,RECUSOU INFORMA,JT
1,VENEZUELA,PRETA,JT
1,GUINÉ,RECUSOU INFORMA,PE
1,BENIN,PRETA,CL
1,REP�BLICA DOMINICANA,PRETA,G
1,TUN�SIA,BRANCA,MP
1,REPÚBLICA DOMINICANA,PRETA,JT
1,PERU,BRANCA,G
1,CUBA,RECUSOU INFORMA,SM
1,PORTUGAL,RECUSOU INFORMA,FO
1,ESTADOS UNIDOS DA AM�RICA (EUA),BRANCA,PE
1,ARGENTINA,INDIGENA,IP
1,PERU,PARDA,MP
1,INGLATERRA,BRANCA,FO
1,PERU,NÃO DECLARADA,IP
1,CANAD�,BRANCA,IP
1,FILIPINAS,RECUSOU INFORMA,JT
1,PERU,BRANCA,PJ
1,REP�BLICA DOMINICANA,PARDA,PE
1,ISRAEL,BRANCA,IP
1,VIETNÃ,PARDA,CS
1,�FRICA DO SUL,BRANCA,PE
1,CUBA,PARDA,CL
1,PERU,PARDA,BT
1,MALI,PRETA,PE
1,COLÔMBIA,PRETA,CL
1,GUIANA,PRETA,IQ
1,ZAIRE,PRETA,PE
1,AUSTRÁLIA,BRANCA,PE
1,BOL�VIA,RECUSOU INFORMA,MP
1,ESTADOS UNIDOS DA AMÉRICA (EUA),PARDA,BT
1,ESTADOS UNIDOS DA AM�RICA (EUA),RECUSOU INFORMA,IQ
1,BOL�VIA,PRETA,FO
1,URUGUAI,RECUSOU INFORMA,BT
1,ESTADOS UNIDOS DA AMÉRICA (EUA),PARDA,CS
1,JAPÃO,RECUSOU INFORMA,IP
1,BOL�VIA,N�O DECLARADA,G
1,URUGUAI,PARDA,BT
1,GUINÉ,PARDA,SM
1,HAITI,N�O DECLARADA,PJ
1,CAMAR�ES,PRETA,IQ
1,QUÊNIA,PRETA,PJ
1,MARROCOS,PARDA,SM
1,ITÁLIA,RECUSOU INFORMA,PJ
1,PARAGUAI,INDIGENA,JT
1,BOLÍVIA,PRETA,FO
1,IRLANDA,BRANCA,JT
1,GUINÉ,PRETA,FO
1,GUIN� BISSAU,RECUSOU INFORMA,CS
1,CHILE,RECUSOU INFORMA,JT
1,HAITI,BRANCA,G
1,JAPÃO,AMARELA,CS
1,PARAGUAI,PRETA,MP
1,JAP�O,BRANCA,SA
1,BÉLGICA,BRANCA,CL
1,JAP�O,AMARELA,FO
1,EGITO,RECUSOU INFORMA,SA
1,PARAGUAI,RECUSOU INFORMA,PJ
1,MARROCOS,PRETA,PE
1,CATAR,RECUSOU INFORMA,PE
1,CANADÁ,BRANCA,CL
1,HONDURAS,PARDA,CL
1,SENEGAL,PRETA,CL
1,BÓSNIA HERZEGOVINA,PARDA,JT
1,MO�AMBIQUE,PRETA,BT
1,IRLANDA DO NORTE,BRANCA,SA
1,ITÁLIA,BRANCA,PJ
1,NOVA ZELÂNDIA,BRANCA,IP
1,ITÁLIA,BRANCA,CS
1,PORTUGAL,BRANCA,MP
1,ANGOLA,PARDA,G
1,MÉXICO,BRANCA,IP
1,FILIPINAS,BRANCA,IP
1,JAP�O,PARDA,SM
1,NIG�RIA,PRETA,FO
1,ESTADOS UNIDOS DA AM�RICA (EUA),PRETA,PE
1,ÁFRICA DO SUL,BRANCA,G
1,JAPÃO,BRANCA,PJ
1,CUBA,BRANCA,SM
1,LIB�RIA,PRETA,CL
1,�FRICA DO SUL,PRETA,JT
1,CUBA,RECUSOU INFORMA,IP
1,JAP�O,AMARELA,CS
1,CANADÁ,BRANCA,BT
1,TUN�SIA,PARDA,SA
1,IRÃ,BRANCA,IP
1,RÚSSIA,AMARELA,IP
1,JAPÃO,PARDA,SA
1,HAITI,N�O DECLARADA,PE
1,ESTADOS UNIDOS DA AM�RICA (EUA),PARDA,BT
1,CHINA,AMARELA,CL
1,CONGO,PARDA,CL
1,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,G
1,GUIN� EQUATORIAL,PRETA,PE
1,EQUADOR,PARDA,JT
1,IEMEN,BRANCA,MP
1,HAITI,BRANCA,CL
1,REP�BLICA DOMINICANA,PRETA,SA
1,S�RIA,RECUSOU INFORMA,G
1,AUSTRÁLIA,RECUSOU INFORMA,CS
1,HONDURAS,BRANCA,CL
1,S�RIA,PARDA,IQ
1,PERU,PRETA,G
1,EQUADOR,INDIGENA,SA
1,TUN�SIA,PRETA,CL
1,GUIANA,PRETA,IP
1,BOTSUANA,PARDA,JT
1,EQUADOR,PARDA,BT
1,CONGO,RECUSOU INFORMA,IQ
1,BOLÍVIA,PRETA,IP
1,ESPANHA,BRANCA,BT
1,CHILE,RECUSOU INFORMA,CS
1,MARROCOS,PARDA,PE
1,L�BANO,RECUSOU INFORMA,MP
1,JAPÃO,PARDA,SM
1,AFEGANISTÃO,BRANCA,PJ
1,GUINÉ BISSAU,RECUSOU INFORMA,FO
1,FRAN�A,PRETA,CL
1,JAPÃO,PARDA,CL
1,GRÉCIA,RECUSOU INFORMA,PE
1,SENEGAL,RECUSOU INFORMA,JT
1,JAP�O,AMARELA,PE
1,CHILE,NÃO DECLARADA,IP
1,PORTUGAL,BRANCA,FO
1,COL�MBIA,PARDA,PE
1,BAHREIN,BRANCA,JT
1,CUBA,PARDA,BT
1,FRANÇA,PARDA,PJ
1,HAITI,PARDA,SA
1,EQUADOR,PRETA,IP
1,LETÔNIA,BRANCA,JT
1,CAMARÕES,PRETA,MP
1,VENEZUELA,INDIGENA,SA
1,OUTRA NACIONALIDADE,N�O DECLARADA,PE
1,TOGO,PRETA,BT
1,IT�LIA,BRANCA,CL
1,R�SSIA,BRANCA,IP
1,FRANÇA,BRANCA,PJ
1,JAPÃO,BRANCA,FO
1,AFEGANISTÃO,RECUSOU INFORMA,PE
1,OUTRA NACIONALIDADE,PARDA,CL
1,BOLÍVIA,PRETA,BT
1,ARGENTINA,PARDA,MP
1,EQUADOR,INDIGENA,FO
1,S�RIA,RECUSOU INFORMA,JT
1,ANGOLA,PARDA,FO
1,MARROCOS,RECUSOU INFORMA,IP
1,CHILE,RECUSOU INFORMA,IP
1,TUNÍSIA,BRANCA,PE
1,CUBA,PRETA,IP
1,MALTA,BRANCA,PJ
1,JORDÂNIA,RECUSOU INFORMA,IQ
1,ARM�NIA,PARDA,JT
1,ESPANHA,PARDA,BT
1,PARAGUAI,AMARELA,PJ
1,COLÔMBIA,BRANCA,FO
1,AFEGANISTÃO,PRETA,PE
1,PORTUGAL,PARDA,CL
1,REPÚBLICA DOMINICANA,RECUSOU INFORMA,IP
1,AUSTR�LIA,PARDA,FO
1,JAMAICA,PRETA,IP
1,CHILE,PRETA,IP
1,RESERVADO,PARDA,PE
1,CHILE,RECUSOU INFORMA,G
1,ESTADOS UNIDOS DA AMÉRICA (EUA),RECUSOU INFORMA,IQ
1,SÍRIA,BRANCA,SA
1,VENEZUELA,INDIGENA,IQ
1,EQUADOR,AMARELA,MP
1,ARMÊNIA,PARDA,JT
1,ANGOLA,NÃO DECLARADA,IP
1,GUIANA FRANCESA,PRETA,IP
1,PORTUGAL,PARDA,CS
1,NIGÉRIA,RECUSOU INFORMA,JT
1,CABO VERDE,PRETA,PJ
1,MARROCOS,PARDA,G
1,EGITO,RECUSOU INFORMA,PE
1,GUINÉ,PRETA,IP
1,ARGENTINA,AMARELA,FO
1,PORTUGAL,NÃO DECLARADA,BT
1,COL�MBIA,RECUSOU INFORMA,BT
1,MARROCOS,RECUSOU INFORMA,JT
1,BOLÍVIA,NÃO DECLARADA,JT
1,REPÚBLICA DOMINICANA,PARDA,IP
1,PERU,PRETA,PE
1,GUINÉ BISSAU,RECUSOU INFORMA,PJ
1,CHILE,RECUSOU INFORMA,PJ
1,TRINIDAD E TOBAGO,PARDA,SM
1,TURQUIA,PRETA,IP
1,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,FO
1,QU�NIA,PRETA,IQ
1,PORTUGAL,PARDA,IP
1,NEPAL,RECUSOU INFORMA,IP
1,EQUADOR,PRETA,SM
1,CHINA,BRANCA,PE
1,EGITO,PARDA,CL
1,PORTUGAL,RECUSOU INFORMA,BT
1,AUSTRÁLIA,BRANCA,BT
1,JAPÃO,NÃO DECLARADA,IP
1,BOL�VIA,PRETA,PE
1,POL�NIA,BRANCA,JT
1,GÂMBIA,PRETA,PE
1,VENEZUELA,PRETA,MP
1,NIGÉRIA,PRETA,CS
1,TAIL�NDIA,BRANCA,PE
1,LÍBANO,RECUSOU INFORMA,FO
1,CHILE,BRANCA,JT
1,REPÚBLICA DOMINICANA,PRETA,SA
1,PERU,NÃO DECLARADA,CS
1,COL�MBIA,BRANCA,IQ
1,PERU,RECUSOU INFORMA,BT
1,QUÊNIA,PRETA,IQ
1,GUIN� BISSAU,PRETA,IQ
1,VENEZUELA,PRETA,BT
1,URUGUAI,BRANCA,MP
1,JAPÃO,RECUSOU INFORMA,PE
1,ITÁLIA,RECUSOU INFORMA,CL
1,EMIRADOS ÁRABES UNIDOS,BRANCA,IP
1,NIG�RIA,PRETA,PJ
1,REP�BLICA DOMINICANA,RECUSOU INFORMA,CL
1,CHINA,RECUSOU INFORMA,IP
1,INGLATERRA,BRANCA,PJ
1,GANA,PRETA,PE
1,NIGÉRIA,PARDA,PE
1,NOVA GUIN�,PRETA,IP
1,CUBA,BRANCA,G
1,BOLÍVIA,PRETA,PJ
1,CAMARÕES,PRETA,IQ
1,CONGO,PRETA,BT
1,EGITO,PARDA,JT
1,CHILE,PRETA,BT
1,URUGUAI,PRETA,BT
1,GUINÉ BISSAU,PRETA,PE
1,HAITI,PARDA,IQ
1,SÍRIA,BRANCA,SM
1,FILIPINAS,PARDA,IP
1,GUINÉ EQUATORIAL,PRETA,SA
1,SUDÃO,RECUSOU INFORMA,IP
1,URUGUAI,BRANCA,CS
1,GUINÉ EQUATORIAL,RECUSOU INFORMA,SA
1,UCRÂNIA,BRANCA,JT
1,CUBA,PRETA,PE
1,SÍRIA,BRANCA,PE
1,EQUADOR,BRANCA,MP
1,COLÔMBIA,PARDA,MP
1,BÉLGICA,BRANCA,BT
1,S�RIA,N�O DECLARADA,CL
1,JAP�O,PARDA,MP
1,ARGENTINA,AMARELA,IP
1,GUIN� EQUATORIAL,RECUSOU INFORMA,IP
1,BONAIRE SAINT EUSTATIUS E SABA,BRANCA,IP
1,IR�,BRANCA,BT
1,MOÇAMBIQUE,PRETA,IP
1,ITÁLIA,NÃO DECLARADA,BT
1,URUGUAI,BRANCA,FO
1,JAP�O,BRANCA,PJ
1,MÉXICO,BRANCA,MP
1,PERU,AMARELA,FO
1,RÚSSIA,RECUSOU INFORMA,BT
1,SÉRVIA,BRANCA,FO
1,COLÔMBIA,AMARELA,JT
1,TUN�SIA,BRANCA,SM
1,GUINÉ,RECUSOU INFORMA,IP
1,NICARÁGUA,BRANCA,FO
1,VENEZUELA,INDIGENA,G
1,UCRÂNIA,RECUSOU INFORMA,G
1,ESTADOS UNIDOS DA AM�RICA (EUA),BRANCA,SA
1,IRAQUE,RECUSOU INFORMA,JT
1,CONGO,NÃO DECLARADA,IQ
1,PAQUIST�O,BRANCA,CS
1,EGITO,BRANCA,IP
1,ANGOLA,NÃO DECLARADA,PE
1,HAITI,NÃO DECLARADA,CL
1,PERU,INDIGENA,PE
1,CABO VERDE,RECUSOU INFORMA,G
1,GUIN� BISSAU,RECUSOU INFORMA,PJ
1,LÍBANO,NÃO DECLARADA,CL
1,PARAGUAI,AMARELA,CS
1,JAPÃO,AMARELA,PE
1,S�RIA,RECUSOU INFORMA,CL
1,CHILE,PARDA,FO
1,NIGÉRIA,RECUSOU INFORMA,IQ
1,JAP�O,BRANCA,IQ
1,TAILÂNDIA,PRETA,IQ
1,ANT�RTICO ARGENTINO,PARDA,IQ
1,CAMAR�ES,PRETA,BT
1,COLÔMBIA,AMARELA,FO
1,ARGENTINA,INDIGENA,PE
1,PARAGUAI,INDIGENA,SM
1,ANGOLA,INDIGENA,PE
1,JAPÃO,PARDA,CS
1,JAPÃO,RECUSOU INFORMA,FO
1,CANADÁ,PARDA,JT
1,EQUADOR,RECUSOU INFORMA,PJ
1,BOL�VIA,PRETA,JT
1,EQUADOR,INDIGENA,CL
1,EL SALVADOR,BRANCA,CL
1,COLÔMBIA,RECUSOU INFORMA,G
1,MAURITÂNIA,BRANCA,IP
1,TUN�SIA,BRANCA,SA
1,SÍRIA,BRANCA,IQ
1,ARGENTINA,PRETA,JT
1,REPÚBLICA DOMINICANA,PRETA,SM
1,MÉXICO,BRANCA,BT
1,SURINAME,PARDA,PJ
1,BÓSNIA HERZEGOVINA,BRANCA,JT
1,AUSTRÁLIA,PARDA,BT
1,CINGAPURA,BRANCA,IP
1,BOLÍVIA,INDIGENA,SM
1,ARÁBIA SAUDITA,RECUSOU INFORMA,IP
1,PERU,BRANCA,SM
1,UCR�NIA,BRANCA,BT
1,IRLANDA,RECUSOU INFORMA,CS
1,JAP�O,BRANCA,BT
1,CHIPRE,BRANCA,IP
