open_spaces,dre,school
2,IP,MANUEL SOARES NEIVA. CEL.
2,IP,ANTONIO DE ALCANTARA MACHADO
2,IP,NUCLEO 120
2,IP,SEGUNDA MILHA
2,IP,MINA
2,IP,PAULO ALVES. TTE.
2,IP,BRENNO FERRAZ DO AMARAL
2,IP,MILTON IMPROTA. PROF.
2,IP,OSORIO. GEN.
2,IP,SEBASTIAO SANCHES MARTINES. PROF
2,IP,BENNO HUBERT STOLLENWERK. PE.
2,IP,CIDADE DO SOL / IMPERADOR
2,IP,WILSON JOSE ABDALLA
2,IP,IRMA DERLY FABRES
2,IQ,CONJ. HABITACIONAL GOITI
2,IQ,BARTOLOMEU LOURENCO DE GUSMAO
2,IQ,VICENTINA RIBEIRO DA LUZ
2,IQ,CENTRO DE ACAO SOCIAL ESPACO LIVRE
2,IQ,PARQUE DO CARMO
2,IQ,JARDIM SAO PEDRO
2,IQ,8 DE MAIO
2,IQ,JARDIM MARILIA
2,JT,JOAQUIM THOME FILHO. VER.
2,JT,JOAO RAMOS - PERNAMBUCO - ABOLICIONISTA
2,JT,FERNAO DIAS
2,JT,CIDADE NOVA DO PARQUE NOVO MUNDO
2,JT,DRA ZILDA ARNS NEUMANN
2,JT,YUKIO OZAKI. PROF.
2,JT,VILA CONSTANCA
2,JT,ANA NERI
2,JT,ANITA CASTALDI ZAMPIROLLO. PROFA.
2,JT,EDALZIR SAMPAIO LIPORONI. PROFA.
2,JT,ASS MORADORES ZONA NORTE UNID IV JT
2,JT,CELIA REGINA KUHL. PROFA
2,MP,FLAVIO AUGUSTO ROSA. PROF.
2,MP,SONHO MAGICO
2,MP,SITIO DA CASA PINTADA - MOCA
2,MP,INSTITUTO SEVERINO FABRIANI PARA CRIANCAS SURDAS
2,MP,PARQUE SAO CARLOS
2,MP,MAYARA
2,MP,LINO DE MATTOS. SEN.
2,MP,RAIOS DE LUZ UNID IV
2,PE,JACKSON DE FIGUEIREDO
2,PE,VERA CRUZ
2,PE,FABIANO DE CRISTO. CASA TRANSIT
2,PE,CENTRO DE EDUCACAO DA ZONA LESTE
2,PE,MARCIANO VASQUES PEREIRA. PROF
2,PE,DINAH FERNANDES COSTA . PROFA.
2,PE,CEC A NOSSA CASA
2,PE,PEDRO BRASIL BANDECCHI
2,PE,CENTRO SOCIAL NOSSA SENHORA DA PENHA CENHA
2,PE,JOSE ALOYSIO RODRIGUES CORREA. PROF.
2,PE,JARDIM VERONIA
2,PE,JARDIM POPULAR
2,PE,ROBERTO VICTOR CORDEIRO
2,PE,LEONARDO ARROYO
2,PE,RAFAEL TOBIAS DE AGUIAR. BRIG.
2,PE,OTHELO FRANCO. GEN.
2,PJ,SHANGRI-LA - MARIA PEDROZA DE OLIVEIRA. PROFA.
2,PJ,CHARBONNEAU. PE.
2,PJ,JARAGUA I
2,PJ,ESTRADA TURISTICA DO JARAGUA
2,PJ,FILHOS DO REI
2,PJ,FERNANDO DE AZEVEDO
2,PJ,HOMERO DOMINGUES DA SILVA. VER.
2,PJ,MARIA JOSE VASCONCELOS MANKEL. PROFA.
2,PJ,PEROLA ELLIS BYINGTON
2,PJ,VILA PIAUI
2,PJ,JOSE FERRAZ DE CAMPOS. PROF.
2,PJ,ENZO ANTONIO SILVESTRIN. PROF
2,PJ,FILHOS DA TERRA
2,PJ,EUNICE DOS SANTOS. PROFA.
2,SA,LEONOR MENDES DE BARROS. DA.
2,SA,AME
2,SA,CRUZ E SOUSA
2,SA,SYLVIO DE MAGALHAES FIGUEIREDO. ALM.
2,SA,VILLA CRIANCA FELIZ
2,SM,AEC PADRE LUIZ SUTTER UNID XXXVI SM
2,SM,HENRIQUE MELEGA. PROF.
2,SM,IVETE VARGAS. DEP.
2,SM,AEC PADRE LUIZ SUTTER UNID IV SM
2,SM,CEC SANTA ROSA DE LIMA
2,SM,EDER SADER
2,SM,JOAO UBALDO RIBEIRO
2,SM,PAULA CRISTINA RODRIGUES. PROFA
2,SM,JARDIM COLONIAL
1,BT,VOVO ANA
1,BT,INSTITUTO ANA ROSA
1,BT,NOITE ENCANTADA I
1,BT,LEILA GALLACCI METZKER. PROFA
1,BT,YVONE LEMOS DE ALMEIDA FRAGA
1,BT,JORGE ADILSON CANDIDO. PROF.
1,BT,RECANTO DOS PASSAROS
1,BT,NOSSA SENHORA DOS POBRES
1,BT,ZILDA DE FRANCESCHI. PROFA.
1,BT,PERO NETO
1,BT,JOAO NEGRAO. CEL.
1,BT,ISABEL COLOMBO. PROFA.
1,BT,THEODOMIRO DIAS. DES.
1,BT,PRIMEIROS CAMINHOS
1,BT,ALVARO SILVA BRAGA. GEN.
1,BT,ALOYSIO DE MENEZES GREENHALGH. VER.
1,BT,CASA DA PEQUENA IVETE
1,BT,GILBERTO CHAVES. DEP.
1,CL,CAMPO LIMPO VI
1,CL,MARIO RANGEL. CEL.
1,CL,ANGENOR DE OLIVEIRA - CARTOLA
1,CL,BOA ESPERANCA I
1,CL,LORENCO MANOEL SPARAPAN. PROF.
1,CL,SOLAR DOS UNIDOS I
1,CL,GIANFRANCESCO GUARNIERI
1,CL,ASTROGILDA DE ABREU SEVILHA. PROFA
1,CL,CARITAS - SANTA TEREZINHA
1,CL,GIRASSOL
1,CL,PARQUE SANTO ANTONIO I
1,CL,TANCREDO DE ALMEIDA NEVES. PRES.
1,CL,DOLORES DURAN
1,CL,PAZ E ESPERANCA
1,CL,INDEPENDENCIA
1,CL,INSTITUTO SOCIAL SANTA LUCIA - UNID VIII - CL
1,CL,JARDIM NAKAMURA
1,CL,ASS DO ABRIGO NOSSA SRA RAINHA DA PAZ DO JD FIM DE SEMANA
1,CL,ASSIS CHATEAUBRIAND
1,CL,JARDIM ECOLOGICO GUARAPIRANGA I
1,CL,CASA BLANCA
1,CL,SUL DE MINAS
1,CL,JARDIM MACEDONIA
1,CL,IMACULADA CONCEICAO
1,CL,INSTITUTO SOCIAL SANTA LUCIA - UNID VII
1,CL,MAURO BAPTISTA. PE.
1,CL,INSTITUTO SOCIAL SANTA LUCIA
1,CL,INSTITUTO SOCIAL SANTA LUCIA - UNID I CL
1,CL,CAMPO LIMPO II
1,CL,HENRI WALLON
1,CL,JARDIM SAO JOAQUIM
1,CL,DANDINHA
1,CL,CATULO DA PAIXAO CEARENSE
1,CL,CLUBE DE MAES DO JARDIM TURQUESA
1,CL,INSTITUTO SOCIAL SANTA LUCIA - UNID V CL
1,CL,PARQUE FIGUEIRA GRANDE I - ANDRE LUIZ JANUARIO
1,CL,JARDIM IBIRAPUERA
1,CL,PAULO FREIRE. PROF.
1,CL,SEMENTINHA DO AMOR
1,CL,ROSILDA SILVIO SOUZA. PROFA
1,CL,DONATO SUSUMU KIMURA
1,CL,JARDIM SAO LUIZ II
1,CL,INSTITUTO SOCIAL SANTA LUCIA UNID XII
1,CL,PENTAGRAMA VII
1,CL,CONJ. HABITACIONAL VALO VELHO
1,CL,INSTITUTO SOCIAL SANTA LUCIA UNID X
1,CL,MACEDONIA III
1,CL,DULCE MARINHO
1,CL,LUIZ TENORIO DE BRITO. CEL.
1,CL,CAMPO LIMPO III -LUISA ROSARIA DE OLIVEIRA DIAS
1,CL,CAFU
1,CL,NORIMAR TEIXEIRA. PROFA.
1,CL,ELODI MARIA DAMACENA
1,CL,MARGARIDA BRITO FARIAS SILVA
1,CL,IPAVA
1,CL,CASA DA CRIANCA E DO ADOLESCENTE
1,CL,NATHALIA PEDROSO ROSEMBURG. DRA.
1,CS,FREI LEONEL
1,CS,VILA NATAL
1,CS,JARDIM LALLO
1,CS,JARDIM IDEAL
1,CS,JOSE FERREIRA KEFFER. VER.
1,CS,AMCOSE
1,CS,AURELIO BUARQUE DE HOLANDA FERREIRA
1,CS,PADRE GIUSEPPE PEGORARO
1,CS,RECONCILIACAO
1,CS,DENISE NALINI
1,CS,JARDIM ELIANA
1,CS,JARDIM REIMBERG
1,CS,JARDIM DOS ALAMOS. CRECHE E PRE ESCOLA
1,CS,MITIKO MATSUSHITA NEVOEIRO
1,CS,KRUKUTU
1,CS,JARDIM UNIVERSITARIO
1,CS,SAO FRANCISCO DE ASSIS
1,CS,SANTA MARIA
1,CS,PEQUENOS GENIOS III
1,CS,MARIA NATIVIDADE MACHADO
1,FO,NANY APPLE
1,FO,EMILIA FERREIRO
1,FO,PARQUE BELEM
1,FO,FELIPE MESTRE JOU
1,FO,CAIO GRACO DA SILVA PRADO
1,FO,BERTHA LUTZ
1,FO,ALEXANDRE GAMA. CEL.
1,FO,JARDIM MARACANA
1,FO,PAZ
1,FO,MARIA LUCIA PETIT DA SILVA. PROFA.
1,FO,ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID IV FO
1,FO,ALECRIM DOURADO
1,FO,FREDERICO GUSTAVO DOS SANTOS. TTE. AVIADOR
1,FO,MARTINS FONTES
1,FO,NOVO AMANHECER
1,FO,25 DE JANEIRO
1,FO,MENINO JESUS
1,FO,CLARICE LISPECTOR
1,FO,THEO DUTRA
1,FO,BERNARDINO PIMENTEL MENDES. DR
1,FO,JOANINHA GRASSI FAGUNDES. PROFA.
1,FO,JARDIM MONJOLO I
1,FO,ALEX FREUA NETTO. VER.
1,FO,PEQUENAS ESTRELAS I
1,FO,LAR ENCANTADO
1,G,SEMEANDO O BEM II
1,G,MEIRE DE JESUS RIBEIRO.PROF.
1,G,IRACI SANTANA
1,G,YAHWE NISSI
1,G,HELENA LOPES SANTANA DA SILVA. PROFA.
1,G,JAMBEIRO
1,G,DIAS GOMES
1,G,JORGE. PE
1,G,TURMA DA MAFALDA II
1,G,JULIO FRANCISCO DE SOUZA II
1,G,IGEVE GUAIANASES ALVORADA
1,G,OLINDA MENEZES SERRA VIDAL. PROFA.
1,G,ODUVALDO VIANA FILHO
1,G,JOAO E MEL
1,G,VLADIMIR HERZOG
1,G,MARIA APARECIDA DO NASCIMENTO. PROFA.
1,G,ELISA KAUFFMANN ABRAMOVICH
1,G,TEREZA DAVILA
1,G,FAZENDA DO CARMO
1,G,MARIA
1,G,ANNA LAMBERGA ZEGLIO. VER.
1,G,TOMAS GALHARDO
1,G,RAUL NEMENZ. PROF
1,G,SEMEANDO O BEM III
1,G,CAIO SERGIO POMPEU DE TOLEDO. DEP.
1,G,CIDADE TIRADENTES IV
1,G,NAZARE NERI LIMA. PROFA
1,G,ALICE APARECIDA DE SOUZA . PROFA
1,G,EDUARDO KNEESE DE MELLO. PROF.
1,G,MARIA APARECIDA LARA COIADO. PROFA
1,G,CASP CENTRAL DE ASS E SOCIEDADES POPULARES
1,G,SMILES
1,G,PAZ NOS VALES
1,G,ESPACO KAIROS VII
1,G,LETICIA RIBEIRO PORTO
1,G,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA V
1,G,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA IX
1,G,SOL RADIANTE
1,IP,MARIA LUIZA MORETTI GENTILE. PROFA.
1,IP,MARIA ANTONIETA DE CASTRO
1,IP,INSTITUTO EFORT DE ACAO SOCIAL CULTURAL EDUCACAO PESQUISA
1,IP,FEIJO. REG.
1,IP,ELOHIM ADONAI IV
1,IP,MARIO MARQUES E SERRA. PE.
1,IP,ANGELO MARTINO
1,IP,13 DE MAIO
1,IP,ANTONIO FRANCISCO LISBOA
1,IP,ARMANDO DE ARRUDA PEREIRA
1,IP,ALCEU MAYNARD DE ARAUJO. PROF.
1,IP,ZENAIDE GRANDINI. PROFA.
1,IP,ABRAO HUCK. DR.
1,IP,ISABEL. PRINC.
1,IP,LUCIANA AZEVEDO POMPERMAYER. PROFA.
1,IP,ANJOS DA TERRA
1,IP,PACAEMBU
1,IP,CARVALHO PINTO. GOV.
1,IP,IRMA JACINTA
1,IP,JERICO
1,IP,AFONSO CELSO
1,IP,JOAO CARLOS DA SILVA BORGES. PROF.
1,IP,CLUBE DAS LETRINHAS
1,IP,HEITOR VILLA LOBOS
1,IP,SAO JUDAS TADEU
1,IP,IVETTE ATALLAH
1,IQ,COMUNIDADE CRISTA AVIVAMENTO PLENO II
1,IQ,FRANCISCO ALVES MENDES FILHO - CHICO MENDES
1,IQ,DOROTHY STANG
1,IQ,PARQUE SAVOY CITY
1,IQ,ARICANDUVA
1,IQ,FAZ DE CONTA
1,IQ,LAR MAE DO DIVINO AMOR
1,IQ,CLUBE DE MAES RAIOS DE LUAR
1,IQ,CARLOS EDUARDO BARRETO
1,IQ,MARIO COVAS. GOV.
1,IQ,SEMEANDO ALEGRIA
1,IQ,BUENO DE AZEVEDO. DR.
1,IQ,JOAO RUBENS MARCELO
1,IQ,JARDIM SANTA MARIA
1,IQ,SEBASTIAO FRANCISCO. O NEGRO
1,IQ,SUZANA EVANGELINA FELIPPE. PROFA.
1,IQ,CLOTILDE ROSA HENRIQUES ELIAS. PROFA.
1,IQ,JOSE DUARTE
1,IQ,JULIO CESAR DE MELO E SOUSA-MALBA TAHAN. PROF
1,IQ,JEOVA RAFA
1,IQ,EUGENIO FRANCISCO DE SANTANA
1,IQ,CLUBE DE MAES RAIOS DE LUAR UNID III IQ
1,IQ,LUGAR DE ALEGRIA
1,IQ,CECILIA SANT ANNA DE SOUZA. PROFA.
1,IQ,MANOEL DA NOBREGA. PE.
1,IQ,MARIA HELENA BARBOSA MARTINS. PROFA.
1,JT,MARIA ISABEL PACHECO DE ALMEIDA RIBEIRO
1,JT,CELSO DE SOUSA OLIVEIRA. PROF.
1,JT,EDSON RODRIGUES
1,JT,RAUL DE LEONI
1,JT,CRISTINA. ME.
1,JT,ASS MORADORES DA ZONA NORTE
1,JT,ITALO BETTARELLO. PROF.
1,JT,NOSSA SENHORA APARECIDA II
1,JT,FUTURO BRILHANTE IV
1,JT,ALBERTO SANTOS DUMONT
1,JT,JOSE JOAQUIM DA SILVA
1,JT,LUZ DO SABER
1,JT,LOURENCO FILHO. PROF.
1,JT,JOSE AUGUSTO CESAR. DR.
1,JT,CIDADE NOVA
1,JT,JOVA RURAL III
1,MP,ALIOMAR BALEEIRO. MIN.
1,MP,ENSINANDO E APRENDENDO / JARDIM SAO CARLOS
1,MP,RAIOS DE LUZ UNID I
1,MP,CRESCER E APRENDER
1,MP,HELLIO TAVARES. DR.
1,MP,ESPACO DA COMUNIDADE I
1,MP,HORIZONTES DO SABER
1,MP,AMOR ETERNO
1,MP,CAMINHO DA FELICIDADE
1,MP,CATAVENTO
1,MP,ARVORE DO APRENDIZADO II
1,MP,ITAIM PAULISTA I. CRECHE PRE ESC
1,MP,ADEMIR DE ALMEIDA LEMOS
1,MP,VICENTE AMATO SOBRINHO. COM.
1,MP,VILA AIMORE
1,MP,DARCY RIBEIRO
1,MP,ESTACAO CRIANCA
1,MP,AMIGOS DA VITORIA
1,MP,RAIOS DE LUZ UNID VI
1,MP,PAULO CESAR FONTELLES DE LIMA
1,MP,PEDRO ALEIXO. DR.
1,MP,NAZARE
1,MP,CEI NINHO ALEGRE
1,MP,NEWTON REIS. GEN.
1,MP,FERNANDO DE AZEVEDO. PROF.
1,MP,PEDRO DE FRONTIN. ALM.
1,MP,PEDRO TEIXEIRA
1,MP,TEREZA SETUKO KOSHIMAE HATORI. PROFA.
1,MP,MURURES
1,PE,WENCESLAU GUIMARAES
1,PE,JARDIM MATARAZZO
1,PE,JUAN CARLOS CASTRO GUARDIOLA. PE.
1,PE,ALASTAIR QUINTAS GONCALVES
1,PE,CIRANDA CIRANDINHA
1,PE,SANTA MIRIAM
1,PE,NUCLEO SOCIO EDUCATIVO NOSSO LAR
1,PE,DINAH GALVAO. PROFA.
1,PE,CENTRO DE EDUCACAO ZONA LESTE
1,PE,WALTER DE ANDRADE. PROF
1,PE,ASSOCIACAO CASA DOS DEFICIENTES DE ERMELINO MATARAZZO-UNID I
1,PE,TAMANDARE. ALM
1,PE,JOAO MENDONCA FALCAO
1,PE,MARIO GRACIOTTI
1,PE,MUNDO AZUL
1,PE,HUMBERTO DE CAMPOS
1,PE,MARY BUARQUE
1,PE,ADHEMAR FERREIRA CASTILHO. PROF
1,PE,LAURA VICUNA
1,PE,IRENE FAVRET LOPES. PROFA.
1,PE,LEILA MARIA FONTELES FARIAS. PROFA
1,PE,ANA MARCHIONE SALLES. PROFA.
1,PE,RODRIGO SOARES JUNIOR
1,PE,DELSON DOMINGUES
1,PE,PIRILAMPO
1,PJ,ANTONIETA DE BARROS. PROFA
1,PJ,ANIBAL DI FRANCIA
1,PJ,MILENA BENEDICTO. PROFA
1,PJ,GUIOMAR CABRAL
1,PJ,VILA FANTON
1,PJ,SANTANA
1,PJ,GERACAO DE SAMUEL
1,PJ,ELIANE BENUTE LESSA AYRES GONCALVES. PROFESSORA- NANY BENUTE
1,PJ,RAUL POMPEIA
1,PJ,MARIA DO CARMO GODOY RAMOS. PROFA.
1,PJ,JOSE JOAQUIM DE SANTANA
1,PJ,FILHOS DA FE
1,PJ,SAO PAULO APOSTOLO
1,PJ,EMMANUEL
1,PJ,4 IRMAOS
1,PJ,LAR DAS CRIANCAS
1,PJ,VILA SULINA
1,PJ,CLEMENTE SEGUNDO PINHO. PROF.
1,PJ,PADRE PIO
1,PJ,THAIS MOTTA DE OLIVEIRA E SILVA RODRIGUES. PROFA.
1,PJ,MADRE NAZARENA
1,PJ,MMDC
1,PJ,JAIRO DE ALMEIDA. PROF.
1,PJ,GENTE INOCENTE
1,PJ,CRIANDO HISTORIAS
1,PJ,JARDIM DAS ORQUIDEAS
1,PJ,AFONSO SARDINHA
1,PJ,SARITA CAMARGO. PROFA.
1,PJ,BADRA
1,PJ,CAMBALHOTA
1,SA,A ALTERNATIVA - ASS DE ASSISTENCIA AO EXCEPCIONAL
1,SA,ENTIDADE DE PROMOCAO E ASSISTENCIA SOCIAL ESPACO ABERTO
1,SA,MADRE RITA AMADA DE JESUS
1,SA,GOTAS DE FLOR COM AMOR
1,SA,CRI ACAO III - ACQUARELA
1,SA,SANTA LUCIA
1,SA,ANTONIO CARLOS VIDEIRA. COMENDADOR
1,SA,BERNARDO O HIGGINS
1,SA,RAUL JOVIANO DO AMARAL
1,SA,ARY PARREIRAS. ALM.
1,SA,CARLOS DE ANDRADE RIZZINI
1,SA,CALOGERAS. MIN.
1,SM,CELIA PERES SUNHIGA
1,SM,VITAL BRAZIL. DR.
1,SM,MANOEL FIEL FILHO
1,SM,VICTORIA
1,SM,COELHO NETO
1,SM,MANOEL DE ALVARENGA FREIRE JUNIOR PROF
1,SM,NINI DUARTE
1,SM,JARDIM VILA CARRAO
1,SM,DIVINEIA
1,SM,INEZITA BARROSO
1,SM,CIDADE DE OSAKA
1,SM,CECILIA MEIRELLES
1,SM,MARIA CECILIA DEZAN ROCHA. PROFA.
1,SM,LEAO DE JUDA
1,SM,CRESCENDO COM ATITUDE II
1,SM,PRINCESA LIVIA
1,SM,GREGORIO WESTRUPP. PE.
1,SM,CHARLES CHAPLIN
1,SM,SEMENTES BRILHANTES
1,SM,FAZENDA DA JUTA
1,SM,ROSA DA CHINA
1,SM,COMUNIDADE FELIZ CRECHE
1,SM,CEC ELIZABETH GASPERAVICIUS
1,SM,QUINTAL DO BRINCAR
1,SM,BARTOLOMEU CAMPOS DE QUEIROS
1,SM,ORIGENES LESSA
1,SM,ADEVALDO DE MORAES
1,SM,JOIAS RARAS
1,SM,APARECIDA CANDIDA DOS SANTOS DE JESUS - DONA CIDICA
1,SM,JEOVA RAFA II
1,SM,FORTE DOS REIS MAGOS
1,SM,ANTONIO PREVIATO
0,BT,ROBERTO ARANTES LANHOSO
0,BT,ANTONIO CARLOS PACHECO E SILVA. PROF.
0,BT,JOAO XXIII. PAPA
0,BT,TARSILA DO AMARAL
0,BT,RECANTO DA ALEGRIA III
0,BT,NOSSO LAR II
0,BT,ARTHUR WHITAKER. DES.
0,BT,AMORIM LIMA. DES.
0,BT,MARIA ALICE BORGES GHION. PROFA.
0,BT,CLARA PUGLIESE RODRIGUES
0,BT,IPE
0,BT,JOSE GASPAR. D.
0,BT,NOITE ENCANTADA II
0,BT,CAROLINA RIBEIRO. PROFA.
0,BT,PRIMEIRO LAPIS
0,BT,CAMILLO ASHCAR. PROF.
0,BT,MAE DO SALVADOR
0,BT,MARIA FERREIRA DA FONSECA
0,BT,CORUJINHA III
0,BT,NOITE ENCANTADA III
0,BT,SALVADOR LO TURCO
0,BT,PINHEIROS
0,BT,JARDIM JAQUELINE - SAO GABRIEL
0,BT,COHAB RAPOSO TAVARES
0,BT,DALMO DO VALLE NOGUEIRA. DES.
0,BT,EDUCANDARIO DOM DUARTE. ANEXA AO
0,BT,PEQUENOS DO BUTANTA III
0,BT,SANTA TEREZA DE JESUS
0,BT,PEDRO LUIZ
0,BT,RECANTO DA ALEGRIA V
0,BT,PEQUENOS DO BUTANTA
0,BT,SAO CESARIO
0,BT,SAO LUIS GONZAGA
0,BT,VIANNA MOOG
0,BT,JARDIM JULIETA
0,BT,PAIS E FILHOS
0,BT,EUCLYDES DE OLIVEIRA FIGUEIREDO. GEN.
0,BT,FRATERNIDADE MARIA DE NAZARE
0,BT,LUIZ EDUARDO MATARAZZO. CDE.
0,BT,JOAO DE BARRO
0,BT,CORUJINHA IV
0,BT,LAR DO ALVORECER CRISTAO
0,BT,BUTANTA
0,BT,ALEGRIA DO SABER III
0,BT,ALIPIO CORREA NETO. PROF.
0,BT,REFERENCIA
0,BT,JOSE DE ALCANTARA MACHADO FILHO
0,BT,RIO PEQUENO II
0,BT,TERESA DE CALCUTA. MADRE
0,BT,ALECRIM
0,BT,BRASIL-JAPAO
0,BT,CASA DA INFANCIA DO MENINO JESUS
0,BT,NOITE ENCANTADA VI
0,BT,VILA MUNCK
0,BT,CORUJINHA DO SABER
0,BT,CHACARA DO JOCKEY
0,BT,OLAVO PEZZOTTI. PROF.
0,BT,MARIAZINHA REZENDE FUSARI. PROFA
0,BT,PEQUENOS DO BUTANTA V
0,BT,MAE DE DEUS
0,BT,IBRAHIM NOBRE
0,BT,SOLANO TRINDADE
0,BT,BUTANTA - ELIZABETH GASPAR TUNALA. PROFA.
0,BT,ALCIDES GONCALVES ETCHEGOYEN. GEN.
0,BT,VOVO JOSE
0,BT,UIRAPURU
0,BT,DONA ANA ROSA. INST
0,BT,PEQUENOS DO BUTANTA IV
0,BT,MARIA DE LOURDES FERRARINI
0,BT,NOSSO SONHO
0,BT,PAU BRASIL
0,BT,PEDRO NAVA
0,BT,NOSSA SENHORA ASSUNCAO
0,BT,JOAO XXIII
0,BT,EDA TEREZINHA CHICA MEDEIROS. PROFA.
0,BT,PEQUENOS DO BUTANTA II
0,BT,ALEGRIA DE APRENDER
0,BT,PRIMEIRO LAPIS II
0,BT,JARDIM JAQUELINE
0,BT,ESTRELINHAS DE PARAISOPOLIS
0,BT,ESTRELINHAS DO BUTANTA II
0,BT,CORUJINHA I
0,BT,DELFINA MARQUES JARDIM
0,BT,MONTE CASTELO
0,BT,TEOFILO BENEDITO OTTONI
0,BT,DEODORO DA FONSECA. MAL.
0,BT,MARIA JOSE GALVAO DE FRANCA PINTO. PROFA.
0,BT,NOITE ENCANTADA V
0,BT,RECANTO DA ALEGRIA IV
0,BT,ALIPIO ANDRADA SERPA. TTE.
0,BT,JARDIM EDITE
0,BT,CENTRO JUVENIL SALESIANO DOM BOSCO
0,BT,LAR PAULO DE TARSO
0,BT,NOITE ENCANTADA VII
0,BT,IRENE GOMES DOS SANTOS
0,BT,RIO PEQUENO I
0,BT,RECANTO DA ALEGRIA I
0,BT,DOM EMILIO PIGNOLI
0,BT,INSTITUTO BLANDINA
0,BT,LAR INFANTIL - ASA
0,BT,PRIMEIRO LAPIS III
0,BT,NOSSO LAR I
0,BT,JOSE OZI. PROF.
0,BT,CIDADE DE GENEBRA
0,BT,SAO BENEDITO
0,BT,ROBERTO MANGE. PROF.
0,BT,ALEGRIA DO SABER II
0,BT,PIXINGUINHA
0,BT,SANTA TERESA DE JESUS
0,BT,RECANTO DA ALEGRIA II
0,BT,FAZENDO ARTE
0,BT,NAIA
0,BT,ANTONIO JOAO ABDALLA. DR.
0,BT,TRES PASTORINHOS
0,BT,CLYCIE MENDES CARNEIRO
0,BT,CASINHA DA TIA LORE
0,BT,IZABEL MENDES DE CASTRO. R.I.
0,BT,BLANDINA MEIRELLES
0,BT,SAO FRANCISCO - ASA
0,BT,CORUJINHA II
0,BT,LEON ALEXANDR
0,BT,TIDE SETUBAL
0,BT,SAO JORGE ARPOADOR
0,BT,COHAB EDUCANDARIO
0,BT,JULIO MESQUITA
0,BT,MARIA DE NAZARE
0,BT,NOITE ENCANTADA IV
0,BT,ALUNA JESSICA NUNES HERCULANO
0,BT,JARDIM ARPOADOR
0,BT,CESAR ARRUDA CASTANHO. DEP.
0,BT,ESTRELINHAS DO JARDIM JAQUELINE
0,BT,BENEDICTO ROCHA. VER.
0,BT,MARIA TEREZA DE MACEDO COSTA
0,BT,ALEGRIA DO SABER IV
0,BT,VIVER E CONVIVER
0,BT,JOSE DIAS DA SILVEIRA. DR.
0,CL,JOSE SARAMAGO
0,CL,BRYAN BIGUINATI JARDIM
0,CL,CEDRINHO I
0,CL,JARDIM AURELIO
0,CL,LUIZA HELENA FERREIRA. PROFA
0,CL,BRILHO DE LUZ
0,CL,JARDIM MONTE AZUL
0,CL,NOSSA SENHORA DO CAMINHO I
0,CL,CANTINHO ESTRELADO
0,CL,JARDIM COIMBRA
0,CL,JARDIM MARIA ALICE
0,CL,LUCAS EVANGELISTA
0,CL,PAULINO BRANCO MARTINS
0,CL,NOSSA SENHORA DO CAMINHO II
0,CL,MAE ZAZA - NUCLEO II
0,CL,PATRICIA BARROS. PROFA.
0,CL,MADRE TERESA DE CALCUTA
0,CL,MAE PEREGRINA
0,CL,PROCOPIO FERREIRA
0,CL,ADAIL TINI DE ARAUJO
0,CL,NOSSA SENHORA RAINHA DA PAZ
0,CL,ESPERANCA DO SABER
0,CL,LEVY DE AZEVEDO SODRE. PROF.
0,CL,MARIA RITA DE CASSIA PINHEIRO SIMOES BRAGA. PROFA.
0,CL,ABELHINHA DOURADA I
0,CL,MARIO FITTIPALDI
0,CL,GEORGE SAVALLA GOMES - CAREQUINHA
0,CL,VOVO CECILIA
0,CL,SAO JOAO GUALBERTO
0,CL,PAULO FONTAO FERRAZ
0,CL,VILA CALU
0,CL,CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO
0,CL,MODESTO SCAGLIUSI
0,CL,TURMA DA TOUCA VI
0,CL,ANGLICANA CRISTINA NARDINELLI
0,CL,OLIVEIRA VIANA
0,CL,CLARICE BENVINDA SANTOS SILVA. PROFA
0,CL,JARDIM PIRACUAMA
0,CL,GUILHERME PARANHOS
0,CL,CAMPO LIMPO IV
0,CL,MARIO MOURA E ALBUQUERQUE. BEL.
0,CL,JOSE OLYMPIO PEREIRA FILHO
0,CL,PARQUE FIGUEIRA GRANDE
0,CL,AIRTON ARANTES RIBEIRO. PROF.
0,CL,ARCO
0,CL,CASTILHO II
0,CL,UNIAO POPULAR DE MULHERES DE CAMPO LIMPO
0,CL,ROSA MARIA II
0,CL,COHAB ADVENTISTA
0,CL,LUAR DO SERTAO
0,CL,JARDIM DOM JOSE I - RAQUEL TRINDADE
0,CL,PEQUENAS TURQUESAS II
0,CL,CAMINHAR VI
0,CL,DEZOITO DO FORTE
0,CL,ANTONIO NUNES
0,CL,LILA COVAS
0,CL,CAROLINA RENNO RIBEIRO DE OLIVEIRA. PROFA.
0,CL,PEDRO E MARIA IV
0,CL,FAGUNDES VARELLA
0,CL,VALQUIRIA DO NASCIMENTO CAETANO
0,CL,ANGLICANA RENATA EUGENIA RODRIGUES - UNID IV- MORUMBI
0,CL,JUAN DIEGO
0,CL,MARITEL II
0,CL,ALICE ALVES II
0,CL,MARIA CLARA ALVES
0,CL,CECILIA MARIA I
0,CL,VERBO DIVINO. INST
0,CL,CEDRINHO III
0,CL,CASTILHO III
